epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3199.71,1.23081,1.81673,1.58711,0.72484,0.64881,0.7536,0.41516,1.38379,2.08182,1.74098,0.000462281,0.000462281,0.000462281
43,3292.35,1.19415,1.80241,1.57536,0.69899,0.67262,0.75867,0.40171,1.34906,2.07003,1.70295,0.000438703,0.000438703,0.000438703
44,3388.08,1.1729,1.65237,1.57238,0.8205,0.76256,0.84108,0.41296,1.37977,2.09583,1.74836,0.000415124,0.000415124,0.000415124
45,3481.22,1.18169,1.66627,1.55897,0.76007,0.69643,0.78242,0.39647,1.35623,2.08564,1.73106,0.000391546,0.000391546,0.000391546
46,3575.79,1.2074,1.7392,1.56411,0.62194,0.74671,0.74239,0.37601,1.36908,2.13093,1.75281,0.000367967,0.000367967,0.000367967
47,3670.31,1.19577,1.64719,1.52944,0.62194,0.74671,0.74239,0.37601,1.36908,2.13093,1.75281,0.000344389,0.000344389,0.000344389
48,3765.14,1.14959,1.70247,1.53467,0.65655,0.71429,0.68803,0.3359,1.39743,2.16217,1.76452,0.00032081,0.00032081,0.00032081
49,3859.84,1.06528,1.48613,1.45706,0.69247,0.68763,0.67822,0.35764,1.34308,2.1499,1.72954,0.000297232,0.000297232,0.000297232
50,3954.35,1.19807,1.62766,1.52145,0.65189,0.66605,0.6916,0.36651,1.38266,2.16905,1.73223,0.000273654,0.000273654,0.000273654
51,4048.49,1.22655,2.11612,1.60206,0.58623,0.80952,0.72082,0.43415,1.35741,2.09363,1.67776,0.000250075,0.000250075,0.000250075
52,4143.05,1.19372,2.10354,1.58964,0.58623,0.80952,0.72082,0.43415,1.35741,2.09363,1.67776,0.000226497,0.000226497,0.000226497
53,4237.21,1.14963,2.09861,1.56944,0.68972,0.78571,0.77067,0.47383,1.31586,2.02085,1.6355,0.000202918,0.000202918,0.000202918
54,4330.47,1.2245,2.09369,1.61781,0.78661,0.71429,0.78116,0.48589,1.24476,1.98184,1.57198,0.00017934,0.00017934,0.00017934
55,4424.84,1.21005,2.01224,1.57059,0.79353,0.71429,0.77579,0.48945,1.19462,1.94481,1.52492,0.000155761,0.000155761,0.000155761
56,4516.28,1.18478,1.90385,1.55363,0.80083,0.71429,0.80971,0.52229,1.18011,1.97319,1.50322,0.000132183,0.000132183,0.000132183
57,4610.37,1.14546,1.86345,1.57914,0.80083,0.71429,0.80971,0.52229,1.18011,1.97319,1.50322,0.000108604,0.000108604,0.000108604
58,4705.24,1.13462,1.86791,1.54304,0.72318,0.77187,0.80593,0.53363,1.17143,1.95071,1.48328,8.50255e-05,8.50255e-05,8.50255e-05
59,4799.06,1.17648,1.89993,1.57131,0.73912,0.76801,0.802,0.52903,1.1779,1.95943,1.48657,6.1447e-05,6.1447e-05,6.1447e-05
60,4891.28,1.06859,1.84697,1.46309,0.9033,0.70924,0.81334,0.52897,1.1774,1.96552,1.48873,3.78685e-05,3.78685e-05,3.78685e-05
